country,date,value
MX,1989-Q3,5558
MX,1989-Q4,5778
MX,1990-Q1,6194
MX,1990-Q2,5411
MX,1990-Q3,7018
MX,1990-Q4,8215
MX,1991-Q1,6473
MX,1991-Q2,6946
MX,1991-Q3,6653
MX,1991-Q4,6783
MX,1992-Q1,6670
MX,1992-Q2,6974
MX,1992-Q3,6893
MX,1992-Q4,6979
MX,1993-Q1,7192
MX,1993-Q2,7453
MX,1993-Q3,7307
MX,1993-Q4,8079
MX,1994-Q1,8077.52
MX,1994-Q2,8599.65
MX,1994-Q3,8351.71
MX,1994-Q4,9584.08
MX,1995-Q1,11709.67
MX,1995-Q2,12056.91
MX,1995-Q3,12041.85
MX,1995-Q4,12629.86
MX,1996-Q1,13868.8
MX,1996-Q2,14679.6
MX,1996-Q3,14582.5
MX,1996-Q4,15948.5
MX,1997-Q1,15422.4
MX,1997-Q2,16421.3
MX,1997-Q3,16035.6
MX,1997-Q4,17386.4
MX,1998-Q1,28157.44022
MX,1998-Q2,29893.67402
MX,1998-Q3,28595.39826
MX,1998-Q4,30980.43514
MX,1999-Q1,29963.16086
MX,1999-Q2,33666.6986
MX,1999-Q3,35323.7823
MX,1999-Q4,37515.02808
MX,2000-Q1,38058.98972
MX,2000-Q2,41069.09146
MX,2000-Q3,42835.4786
MX,2000-Q4,44354.4489
MX,2001-Q1,39789.48638
MX,2001-Q2,40801.65451
MX,2001-Q3,39174.400348
MX,2001-Q4,39214.855582
MX,2002-Q1,36730.257674
MX,2002-Q2,41517.487052
MX,2002-Q3,41397.217364
MX,2002-Q4,41551.08395
MX,2003-Q1,39088.658134
MX,2003-Q2,40258.80186
MX,2003-Q3,41543.07307
MX,2003-Q4,43928.870596
MX,2004-Q1,43186.3997
MX,2004-Q2,47426.482456
MX,2004-Q3,47921.66766
MX,2004-Q4,49598.561618
MX,2005-Q1,46931.093792
MX,2005-Q2,54037.126912
MX,2005-Q3,54191.673144
MX,2005-Q4,59158.774552
MX,2006-Q1,58780.464364
MX,2006-Q2,63616.027582
MX,2006-Q3,62946.527848
MX,2006-Q4,63932.556832
MX,2007-Q1,60057.843244
MX,2007-Q2,67398.99309
MX,2007-Q3,69972.563238
MX,2007-Q4,73285.480976
MX,2008-Q1,69477.975273
MX,2008-Q2,78897.537434
MX,2008-Q3,78023.39967
MX,2008-Q4,62813.94334
MX,2009-Q1,48891.329121
MX,2009-Q2,53269.499222
MX,2009-Q3,57550.95428
MX,2009-Q4,66259.026815
MX,2010-Q1,65523.096589
MX,2010-Q2,73277.618185
MX,2010-Q3,74236.112173
MX,2010-Q4,80069.696233
MX,2011-Q1,80295.095474
MX,2011-Q2,87592.641335
MX,2011-Q3,86050.414134
MX,2011-Q4,88344.89351
MX,2012-Q1,87839.610958
MX,2012-Q2,92490.891382
MX,2012-Q3,89394.751834
MX,2012-Q4,93726.170145
MX,2013-Q1,86767.630895
MX,2013-Q2,95291.160904
MX,2013-Q3,95088.264523
MX,2013-Q4,97764.731572
MX,2014-Q1,89794.758166
MX,2014-Q2,100859.85838
MX,2014-Q3,100154.714158
MX,2014-Q4,102150.753984
MX,2015-Q1,89457.791456
MX,2015-Q2,96985.132033
MX,2015-Q3,94873.750071
MX,2015-Q4,95344.152145
MX,2016-Q1,84041.097325
MX,2016-Q2,92576.601267
MX,2016-Q3,93709.532954
MX,2016-Q4,99095.834669
MX,2017-Q1,93713.83512
MX,2017-Q2,101698.571176
MX,2017-Q3,100793.43117
MX,2017-Q4,109163.254834
MX,2018-Q1,104240.523986
MX,2018-Q2,112797.630988
MX,2018-Q3,113099.901374
MX,2018-Q4,116604.547404
MX,2019-Q1,107088.363901
MX,2019-Q2,118183.279289
MX,2019-Q3,115800.116266
CA,1950-Q1,622.082585278276
CA,1950-Q2,742.779783393502
CA,1950-Q3,753.86012715713
CA,1950-Q4,887.85046728972
CA,1951-Q1,811.892510005718
CA,1951-Q2,935.826364746782
CA,1951-Q3,1031.97124479758
CA,1951-Q4,1145.19230769231
CA,1952-Q1,1057.36558065161
CA,1952-Q2,1200.44838479568
CA,1952-Q3,1140.63310845874
CA,1952-Q4,1247.8104070067
CA,1953-Q1,976.458546571136
CA,1953-Q2,1168.87049560917
CA,1953-Q3,1133.48851330837
CA,1953-Q4,1108.611167928
CA,1954-Q1,937.016802391506
CA,1954-Q2,1052.20311386995
CA,1954-Q3,1073.70805023677
CA,1954-Q4,1147.57481940144
CA,1955-Q1,1038.22896382085
CA,1955-Q2,1166.92034500254
CA,1955-Q3,1198.01176709272
CA,1955-Q4,1195.27101492836
CA,1956-Q1,1101.32158590308
CA,1956-Q2,1330.5760112983
CA,1956-Q3,1329.32054682718
CA,1956-Q4,1381.98757763975
CA,1957-Q1,1197.8782654265
CA,1957-Q2,1324.02368287227
CA,1957-Q3,1428.58945775926
CA,1957-Q4,1379.94849383563
CA,1958-Q1,1151.86595199738
CA,1958-Q2,1377.24453915202
CA,1958-Q3,1313.13276113181
CA,1958-Q4,1405.12738974458
CA,1959-Q1,1138.54646316929
CA,1959-Q2,1470.2445125801
CA,1959-Q3,1406.0140234777
CA,1959-Q4,1592.0762840684
CA,1960-Q1,1403.53687019045
CA,1960-Q2,1412.10770220702
CA,1960-Q3,1496.6179413381
CA,1960-Q4,1480.75842254199
CA,1961-Q1,1329.38531789072
CA,1961-Q2,1511.32085915868
CA,1961-Q3,1565.52899733267
CA,1961-Q4,1619.69399878267
CA,1962-Q1,1393.3624026132
CA,1962-Q2,1577.0885580235
CA,1962-Q3,1575.39932014698
CA,1962-Q4,1665.05197924565
CA,1963-Q1,1432.91030483313
CA,1963-Q2,1710.33803774343
CA,1963-Q3,1721.50332197976
CA,1963-Q4,1921.26642895201
CA,1964-Q1,1687.36732890632
CA,1964-Q2,2117.56025623471
CA,1964-Q3,2110.18079998951
CA,1964-Q4,2065.57132626548
CA,1965-Q1,1776.67308249249
CA,1965-Q2,2107.55775563709
CA,1965-Q3,2188.98609087343
CA,1965-Q4,2377.09709688757
CA,1966-Q1,2147.06795976831
CA,1966-Q2,2499.59687656243
CA,1966-Q3,2591.90755835423
CA,1966-Q4,2674.80434631931
CA,1967-Q1,2473.94867209588
CA,1967-Q2,2859.61916134107
CA,1967-Q3,2584.02980001013
CA,1967-Q4,2914.67758546857
CA,1968-Q1,2872.78936319723
CA,1968-Q2,3388.3379730014
CA,1968-Q3,3229.25995144495
CA,1968-Q4,3610.37518443077
CA,1969-Q1,3338.20676645061
CA,1969-Q2,3715.16618734838
CA,1969-Q3,3398.55371095242
CA,1969-Q4,3920.42253803001
CA,1970-Q1,3806.2212975172
CA,1970-Q2,4397.00172940476
CA,1970-Q3,4103.32239675944
CA,1970-Q4,4436.05994134194
CA,1971-Q1,4166.68182977309
CA,1971-Q2,4742.22109567506
CA,1971-Q3,4395.74464394411
CA,1971-Q4,4870.24036099521
CA,1972-Q1,4623.8534294437
CA,1972-Q2,5643.65630471071
CA,1972-Q3,4828.90451267297
CA,1972-Q4,6062.27045956095
CA,1973-Q1,5934.25170545579
CA,1973-Q2,6906.15216490307
CA,1973-Q3,6029.96735271451
CA,1973-Q4,7629.55465188137
CA,1974-Q1,7502.99277063151
CA,1974-Q2,8998.15689777704
CA,1974-Q3,8460.03827370855
CA,1974-Q4,9316.17912551821
CA,1975-Q1,7840.1430349551
CA,1975-Q2,8922.32830389564
CA,1975-Q3,7878.95701327384
CA,1975-Q4,9138.69145891962
CA,1976-Q1,8817.10698365444
CA,1976-Q2,10541.7507007215
CA,1976-Q3,9713.56606443901
CA,1976-Q4,10361.7222235865
CA,1977-Q1,10154.1766233248
CA,1977-Q2,11281.8165210307
CA,1977-Q3,10081.0283462104
CA,1977-Q4,11119.1426195437
CA,1978-Q1,11026.2335145067
CA,1978-Q2,12426.4675318717
CA,1978-Q3,11307.895641214
CA,1978-Q4,12824.2439476099
CA,1979-Q1,12916.357622065
CA,1979-Q2,14151.0589098525
CA,1979-Q3,13783.9876636268
CA,1979-Q4,15575.3323327275
CA,1980-Q1,15988.2667200524
CA,1980-Q2,16295.86955765
CA,1980-Q3,15583.0610612676
CA,1980-Q4,17746.7023844047
CA,1981-Q1,16641.1172849082
CA,1981-Q2,18657.092896743
CA,1981-Q3,16165.2320162808
CA,1981-Q4,18287.0308117822
CA,1982-Q1,16654.0651571285
